HIJOS;ACTIVIDAD_ECONOMICA;GRADO_APROBADO;HORAS_SEM_TRABAJA;GANANCIA_NETA;MUNICIPIO_NACIMIENTO;NIVEL_EDUCATIVO;ESTRATO_TARIFA;DEPARTAMENTO;SACTISFACCION_INGRESO;SACTISFACCION_SALUD;SACTISFACCION_TRABAJO;ESCALON_VIDA;MATERIAL_PISOS;MATERIAL_TECHO;ESTADO_CIVIL;NIVEL_EDUCACION_PADRE;NIVEL_EDUCACION_MADRE;EDAD
1;121;3;35;98;;3;1;15;7;6;8;6;7;2;6;1;1;45
5;161;1;60;98;;3;1;15;8;8;8;7;4;3;6;1;1;54
2;121;5;48;98;;3;9;15;7;8;4;5;4;3;6;1;1;32
0;144;7;45;;41001;4;2;15;7;7;8;8;6;3;2;9;1;38
2;161;3;50;98;;3;;15;8;8;8;8;6;2;2;1;1;37
0;4711;2;52;98;;3;2;15;8;8;9;8;5;1;3;9;2;66
1;4111;9;43;98;;4;2;15;8;8;8;9;4;1;1;1;9;28
1;9529;4;40;300000;;3;2;15;7;9;9;8;4;1;5;1;1;58
1;8513;2;30;;;13;2;15;8;8;9;9;4;1;6;1;1;49
0;8412;5;48;;;11;2;15;9;8;9;7;4;1;5;2;1;25
0;123;1;50;400000;15621;3;2;15;7;7;8;7;6;3;5;1;1;71
2;6190;11;58;1000000;;5;2;15;8;7;7;8;4;3;6;9;1;38
0;4711;5;47;98;;3;2;15;7;7;8;9;4;1;6;1;1;62
0;161;5;43;98;;11;2;15;3;4;5;5;4;3;4;1;10;56
3;4771;11;48;500000;15176;5;2;15;6;8;8;2;4;1;4;1;1;48
0;4711;3;56;98;15455;3;2;15;2;2;4;8;4;1;6;10;9;60
1;2511;5;57;98;;3;1;15;4;3;9;5;4;3;4;10;1;39
0;8530;5;42;;;11;2;15;8;6;5;6;4;3;6;1;2;63
1;4752;11;35;821000;;5;2;15;5;10;8;8;4;1;5;1;1;47
0;141;2;56;600000;25438;3;2;50;2;6;10;6;6;3;2;1;1;52
5;312;1;8;;;3;2;50;8;8;7;10;6;4;2;10;9;38
1;9492;4;14;300000;99773;3;;50;2;8;9;8;6;4;2;3;9;19
0;8610;1;120;2000000;11001;13;2;50;8;10;8;8;4;4;5;6;4;29
0;311;11;72;;50001;5;2;50;5;10;7;8;6;4;5;7;4;24
1;4782;8;48;400000;;4;1;50;8;8;8;7;7;4;6;9;1;33
2;9491;6;60;830000;25843;4;1;50;5;8;10;9;6;4;6;1;1;51
5;122;6;35;300000;;4;;50;2;9;5;7;7;4;6;9;9;33
0;8544;5;50;;68679;13;4;68;8;7;8;7;4;1;6;4;8;47
0;8610;6;48;;68190;11;4;68;6;10;7;8;4;1;6;4;6;29
2;4741;11;48;400000;;5;2;68;8;10;10;10;4;2;4;4;4;32
2;3600;11;48;;68001;5;4;68;9;9;9;8;4;2;2;10;10;47
2;4771;4;40;6000000;;10;5;68;10;10;10;10;4;2;3;4;4;37
1;4921;11;48;1200000;11001;5;3;68;6;8;8;7;4;1;6;8;9;59
2;4781;4;48;98;;3;3;68;4;4;6;5;4;1;6;10;10;51
1;8523;5;20;2500000;;11;3;68;10;10;10;10;4;1;2;2;1;44
0;5611;6;4;120000;13300;4;3;68;7;6;8;8;4;3;4;1;1;66
0;4111;2;45;1000000;68001;3;3;68;3;9;7;8;6;4;6;1;1;60
2;4520;5;70;1200000;;3;3;68;6;4;5;7;4;3;6;10;1;54
1;141;6;42;300000;;4;1;68;5;7;6;7;6;4;6;1;1;52
2;4711;1;40;100000;15686;3;1;68;9;10;10;10;5;4;3;9;9;66
1;9491;11;30;600000;13430;5;1;68;8;8;10;10;6;4;6;3;3;44
3;113;5;45;400000;;3;1;68;6;7;8;9;6;3;6;1;2;39
2;127;9;40;230000;68001;4;1;68;8;10;10;8;5;4;6;1;2;38
1;127;2;35;200000;;3;1;68;10;10;10;10;6;4;6;9;1;48
0;127;5;40;300000;;3;1;68;6;10;6;10;5;4;1;1;2;28
0;8530;5;30;;;13;1;68;10;10;10;9;6;3;5;2;2;39
0;8530;1;30;;23162;13;1;68;7;7;7;7;6;4;4;1;1;67
0;8530;5;30;;68190;11;1;68;8;8;9;8;6;4;5;2;8;38
1;9700;3;45;300000;68101;3;2;68;10;10;10;10;6;4;4;9;9;50
1;1082;11;45;;68179;5;2;68;7;7;7;7;4;3;6;10;1;34
1;4773;11;40;;68001;5;2;68;10;10;10;10;4;4;2;1;1;60
2;141;6;35;;;4;3;68;6;8;7;6;4;3;2;9;10;55
0;4921;5;70;500000;68077;3;2;68;7;7;7;7;4;1;1;10;1;47
0;6910;5;35;800000;;3;2;68;8;7;7;7;4;3;4;1;1;49
0;1082;10;40;;;5;2;68;6;8;8;6;6;1;5;1;1;25
3;8121;5;5;200000;;3;2;68;10;10;10;10;6;1;4;1;1;33
2;1082;5;45;;68101;3;1;68;9;8;8;8;4;3;6;10;9;40
1;1082;4;50;;;3;1;68;10;10;7;8;6;4;2;9;9;53
1;8530;5;100;;68001;11;3;68;10;10;10;10;4;1;6;2;8;35
1;127;11;56;;;5;3;68;7;7;7;7;4;3;2;1;1;51
0;122;2;20;300000;;3;1;68;10;10;10;8;6;4;6;9;9;52
2;161;1;70;500000;;3;2;68;7;4;6;8;6;4;6;1;9;37
2;1072;10;40;;;5;1;68;2;4;3;4;6;4;4;9;1;38
0;161;4;45;300000;68370;3;1;68;7;6;7;8;4;3;2;9;9;50
3;1072;2;40;500000;23855;3;1;68;10;10;10;10;4;4;2;1;9;41
0;126;2;60;300000;;3;2;68;7;10;8;8;4;3;1;9;9;47
0;8530;1;30;;68572;13;2;68;10;10;10;9;4;1;5;1;9;53
1;4210;5;40;;;3;2;68;10;10;10;7;4;4;4;10;10;53
2;5813;11;35;;;5;2;68;10;8;7;9;4;3;6;6;2;38
2;121;3;40;300000;;3;1;68;6;10;8;8;5;4;6;10;9;56
0;127;5;30;300000;15686;3;1;68;6;7;6;7;5;4;6;9;9;59
2;113;5;40;300000;68720;3;1;68;10;10;10;10;6;4;6;9;9;42
1;127;2;30;400000;68101;3;1;68;7;7;7;6;6;4;6;9;9;72
1;121;3;20;200000;68101;3;1;68;9;10;10;8;4;4;6;9;9;80
3;141;5;30;600000;;3;1;68;7;7;8;7;6;3;2;1;1;35
0;8530;1;30;;15469;13;1;68;9;7;10;9;6;3;5;2;3;38
2;113;7;30;150000;68101;4;1;68;10;10;10;8;4;4;2;1;1;55
0;127;11;24;100000;;5;1;68;4;6;5;5;6;3;5;2;1;59
2;5613;7;42;;;4;1;54;5;8;5;8;6;1;6;2;9;41
1;6412;2;48;;;7;1;54;8;7;10;8;6;1;6;10;4;37
0;4111;3;60;800000;11001;7;2;54;5;7;5;7;4;3;4;2;4;65
1;8424;2;96;;54498;7;2;54;8;6;7;8;4;3;6;1;4;33
0;4773;11;24;150000;;5;2;54;10;6;10;10;4;1;5;1;3;52
1;8424;11;60;;54003;5;2;54;8;10;8;10;4;1;6;1;9;30
2;1522;5;50;800000;;3;1;54;10;10;10;9;6;4;2;1;1;31
2;123;3;56;240000;;3;;54;6;10;8;5;7;4;2;9;9;26
2;123;2;60;300000;;3;1;54;8;10;8;8;6;4;2;9;9;40
3;123;3;40;100000;;3;1;54;4;8;8;8;7;4;2;1;1;37
1;161;11;50;300000;;5;1;54;5;10;6;7;6;4;2;1;1;29
1;123;6;48;600000;;4;2;54;10;10;10;10;6;4;6;9;9;73
0;122;5;40;250000;;3;1;54;3;5;7;10;6;4;5;9;1;61
1;161;5;40;320000;;3;2;54;6;10;10;7;6;4;2;9;3;26
2;161;3;40;250000;;3;2;54;6;10;10;8;6;4;2;1;1;40
2;123;3;35;200000;;3;1;54;10;10;10;10;6;4;6;1;9;48
2;161;1;45;70000;54128;3;2;54;4;5;5;4;7;4;2;10;9;68
1;161;11;35;120000;;5;0;54;10;10;10;10;7;4;1;1;1;20
0;111;4;35;250000;54871;3;0;54;10;10;10;10;6;4;6;9;9;74
1;113;5;60;280000;54871;3;2;54;6;10;7;6;7;4;2;10;9;38
2;161;4;40;300000;;3;2;54;6;8;6;8;6;4;2;1;1;45
0;5611;9;55;420000;54720;4;2;54;10;10;10;10;6;4;4;1;1;56
1;5611;7;60;;;4;2;54;10;10;10;8;6;4;5;10;1;25
4;123;2;45;450000;54871;3;2;54;10;10;10;10;4;4;6;1;9;51
1;4921;2;40;480000;54871;3;2;54;3;6;3;10;6;4;4;1;1;41
3;123;5;30;450000;54871;3;2;54;10;10;10;10;4;4;6;1;9;38
1;161;4;35;500000;54871;3;0;54;10;10;8;10;6;4;2;1;9;24
1;4921;11;8;120000;;5;2;54;4;9;7;6;6;4;2;2;4;28
1;144;3;55;;54720;3;2;54;10;10;10;6;6;4;2;10;9;32
2;144;2;60;;54418;3;2;54;7;10;7;6;6;4;2;10;2;36
5;150;3;54;0;54720;3;2;54;7;7;9;8;6;4;6;1;10;54
3;4781;4;50;800000;;9;0;54;8;8;10;8;6;4;2;1;1;41
3;161;5;45;350000;;3;0;54;8;10;10;10;6;4;6;1;10;48
0;144;4;32;650000;54418;3;0;54;10;10;10;10;6;4;6;1;9;50
1;124;6;55;120000;;4;2;54;8;8;10;8;6;4;2;10;10;21
2;144;5;35;680000;;3;1;54;10;10;10;10;6;4;2;1;1;42
0;122;3;55;100000;54720;3;2;54;5;10;10;7;6;4;4;9;9;29
3;122;2;48;;54871;3;2;54;6;8;10;8;6;4;2;10;1;20
0;161;2;45;450000;;3;2;54;10;10;10;10;6;4;4;10;9;48
0;122;3;55;350000;;3;2;54;4;4;5;7;6;4;5;9;9;61
2;4781;7;8;500000;;4;2;54;5;6;8;7;6;3;2;1;10;38
2;121;5;20;100000;;3;2;54;6;5;4;7;6;4;4;9;9;54
2;161;5;27;450000;;3;2;54;10;10;10;10;6;4;6;1;1;39
2;161;11;40;400000;;5;0;54;9;10;7;8;6;4;6;1;1;32
2;161;2;46;220000;;3;2;54;10;10;10;10;6;4;6;1;1;53
0;122;5;36;100000;;3;2;54;8;9;8;8;6;4;2;10;10;61
3;122;1;50;200000;;3;2;54;8;9;8;7;6;4;6;10;1;44
1;8512;2;40;1400000;;7;2;54;10;10;10;10;6;4;3;1;2;43
2;8621;11;45;;;5;1;54;10;10;10;10;6;4;2;1;1;36
1;8530;4;50;;76001;13;2;54;8;8;8;7;4;3;6;2;2;46
1;8121;11;28;200000;;5;2;54;4;7;6;5;4;4;4;2;1;32
0;2394;5;48;;76364;3;1;76;5;9;10;10;4;1;2;1;1;56
1;4921;4;50;850000;76892;9;2;76;6;7;5;7;6;4;2;1;2;55
0;811;1;48;;;3;0;76;7;8;7;8;7;2;2;1;1;60
1;5613;11;48;;;5;1;76;8;9;8;8;6;4;4;10;10;39
0;4921;5;48;850000;;3;1;76;10;10;10;10;6;1;6;1;1;72
0;8010;5;48;;;3;1;76;8;8;10;10;6;2;4;10;2;55
1;9329;11;8;;;5;0;76;6;9;5;5;6;4;4;1;2;25
2;1011;4;48;;;3;2;76;5;6;9;10;6;3;4;10;9;50
1;5122;11;54;;76248;5;2;76;8;9;9;8;4;2;6;2;3;30
1;4921;11;10;;;5;2;76;7;10;8;6;6;3;4;10;4;23
2;4290;5;51;;76563;3;1;76;7;10;10;7;6;1;1;10;10;25
2;9700;9;48;;20787;4;2;76;8;10;8;9;6;3;6;1;1;27
3;4111;3;48;1600000;;3;2;76;9;9;10;9;6;4;2;10;10;39
1;145;4;48;;76520;3;2;76;5;4;10;4;6;5;6;9;9;53
2;4111;10;48;;76403;5;2;76;8;9;10;10;6;4;2;1;2;54
0;113;3;48;912000;17013;3;1;76;10;9;7;6;4;3;6;1;9;59
3;9602;1;56;200000;17614;7;2;76;6;6;7;10;6;3;2;1;1;44
1;113;5;48;;52287;3;1;76;8;10;10;7;4;3;2;2;1;37
2;113;2;20;500000;52356;3;2;76;10;7;10;8;4;3;2;1;9;74
0;113;11;56;0;52317;5;1;76;2;10;5;7;6;3;4;10;10;62
0;4631;11;60;;;5;2;76;9;10;8;7;4;1;6;1;1;47
1;7500;1;48;3500000;73001;13;3;76;9;9;10;8;4;2;6;3;8;40
2;8810;11;28;99;76520;5;3;76;4;8;4;7;4;3;4;1;2;44
1;8412;5;40;1200000;;3;1;76;7;6;8;8;4;3;4;10;10;60
0;1071;2;48;;52036;3;1;76;5;5;7;7;4;1;2;10;9;57
2;1071;6;48;;;4;9;76;8;10;9;8;6;3;2;10;1;31
5;4111;5;54;1000000;;3;1;76;7;9;7;8;6;2;2;1;2;32
0;4665;5;56;200000;;3;1;76;5;6;5;9;6;4;6;2;2;57
1;123;1;48;;;3;1;76;7;6;9;8;6;4;6;10;1;58
2;5629;5;50;400000;76001;3;1;76;6;7;6;8;4;2;4;9;9;29
2;3110;9;36;400000;76036;4;2;76;6;8;7;8;4;2;3;10;10;69
2;4923;5;55;;66001;3;2;76;7;8;8;7;4;2;6;1;2;47
2;161;5;45;1100000;;3;2;76;6;7;8;7;6;2;2;10;1;34
0;145;8;48;;;4;2;76;8;8;9;8;4;1;2;2;2;49
1;4111;11;60;1100000;;5;2;76;7;7;7;7;4;2;2;1;2;38
2;9524;11;40;800000;;5;2;76;7;8;8;8;4;3;6;9;1;56
1;150;3;48;;76403;3;9;76;7;10;9;9;6;1;3;10;9;57
0;123;8;40;;;4;9;76;7;9;8;8;6;4;6;10;9;57
0;5611;9;56;1000000;76606;4;2;76;8;8;8;8;4;1;6;2;2;39
0;4752;5;48;800000;;3;3;76;9;8;8;10;4;2;6;10;10;81
2;8530;6;25;;63111;11;2;76;7;7;7;8;4;2;2;2;1;55
1;4799;5;16;1200000;;3;3;76;10;9;10;10;4;2;6;3;1;75
0;1040;5;47;;;10;2;76;7;7;7;7;4;2;6;3;2;54
2;4781;8;25;1000000;;4;2;52;7;7;8;9;4;1;4;3;2;52
2;5310;3;40;;;7;2;52;6;8;8;8;4;1;6;2;4;48
2;8511;11;50;;;5;1;52;8;10;6;7;6;1;2;3;1;38
1;5511;2;20;98;52720;13;5;52;10;7;8;7;2;1;6;2;2;65
1;6499;3;60;800000;;9;2;52;6;10;9;10;4;1;1;10;2;34
0;4111;1;48;;;13;5;52;9;9;9;7;2;1;4;8;4;55
0;8610;6;48;;;11;2;52;7;8;9;9;4;1;6;8;4;45
3;9602;11;24;;;5;2;52;3;8;5;6;4;1;4;1;1;37
0;113;5;16;100000;52083;11;4;52;2;1;5;10;4;1;6;1;1;67
1;4530;1;55;3500000;;13;4;52;7;5;8;8;4;1;6;4;4;61
2;4921;11;78;850000;;5;2;52;6;5;5;7;4;1;6;1;1;43
0;5611;3;32;600000;52258;6;9;52;4;7;8;4;4;1;4;2;2;52
1;4220;5;35;;52378;11;4;52;6;8;8;8;4;1;6;8;8;42
0;7310;1;20;2000000;;13;4;52;7;7;8;8;2;1;4;3;4;52
1;9411;4;15;;;10;4;52;8;6;10;8;4;1;6;4;4;73
0;7120;5;27;;52399;11;4;52;10;10;10;10;4;1;4;1;1;65
2;4520;5;60;828000;;3;2;52;7;8;8;7;4;3;2;1;1;52
5;8121;4;30;400000;;3;1;52;0;0;0;2;6;4;4;3;2;34
2;4799;4;4;450000;;3;1;52;7;8;7;7;5;4;5;1;1;40
1;4520;5;40;800000;;3;1;52;4;8;7;6;5;4;2;10;4;34
1;4631;4;56;;;3;1;52;3;9;8;10;5;4;5;9;2;56
1;4711;2;8;300000;;7;1;52;0;9;0;10;5;4;2;2;9;34
1;4721;3;56;350000;;3;1;52;1;2;0;8;4;1;2;9;1;53
0;4111;3;45;600000;52079;3;1;52;10;6;8;8;4;4;6;10;10;66
3;4723;5;21;350000;52490;3;1;52;8;8;7;10;4;1;2;9;9;28
0;4711;5;105;360000;;3;1;52;4;3;7;7;5;4;5;9;10;62
4;5619;6;50;350000;;4;1;52;5;5;2;3;5;4;5;10;10;43
0;4921;8;40;450000;;4;1;52;7;8;4;7;5;4;5;1;1;21
0;4921;3;10;400000;;3;1;52;6;6;8;4;5;4;2;9;9;58
1;8610;2;44;;;7;1;52;5;5;8;10;4;4;2;1;9;46
1;9602;8;82;;;4;1;52;1;9;3;7;5;4;1;1;1;25
0;9700;11;20;350000;;5;1;52;2;5;2;10;6;1;5;1;1;34
2;321;11;60;4000000;;5;1;52;6;0;10;7;4;1;2;2;2;39
5;311;3;24;;;3;1;52;1;5;2;3;5;4;5;4;9;51
2;9200;11;56;;;5;1;52;0;10;10;10;6;1;5;2;1;46
2;9522;2;84;1800000;;7;1;52;4;8;8;8;5;4;2;4;3;31
1;5224;2;24;800000;86573;9;1;52;0;9;0;5;5;4;2;6;2;30
0;4711;3;70;300000;;3;1;52;3;5;3;6;5;4;4;10;1;68
2;9700;4;77;;;3;1;52;6;8;8;10;5;4;2;10;10;39
1;5221;6;8;300000;;4;1;52;3;10;9;10;4;4;2;9;9;44
2;5224;9;7;500000;;4;1;52;3;10;0;5;6;4;2;1;1;27
0;4711;3;70;600000;;3;1;52;5;4;3;5;4;1;2;9;2;55
3;4711;1;82;300000;;7;1;52;4;9;4;8;6;4;5;1;3;34
0;4631;3;56;;;7;1;52;8;5;8;6;6;4;1;2;1;26
0;9529;4;30;300000;;3;1;52;0;2;1;6;6;4;5;9;1;66
2;4542;2;56;600000;;7;1;52;8;6;9;8;6;1;2;9;1;33
2;5611;8;60;600000;;4;1;52;5;5;5;6;6;1;2;1;1;41
1;9602;2;30;;;6;1;52;0;10;10;10;6;4;5;1;1;34
1;4711;2;105;350000;;3;1;52;3;8;6;8;6;1;5;9;9;57
3;8511;3;20;;;9;1;52;5;10;10;8;5;4;2;2;4;39
2;4111;3;42;600000;;3;1;52;3;8;5;10;5;4;2;9;1;42
2;4711;2;42;200000;;7;1;52;7;8;5;10;6;4;5;1;9;35
0;8530;6;40;;;11;1;52;10;4;10;9;4;1;2;9;9;52
3;5611;11;64;600000;;5;1;52;2;7;9;5;4;1;2;9;1;38
1;321;5;9;500000;;3;1;52;6;6;6;9;4;1;3;9;9;52
0;4711;3;112;300000;;3;1;52;3;0;6;8;4;1;2;1;1;59
0;4111;11;8;1600000;;5;1;52;8;10;8;7;6;4;5;9;2;35
2;4792;2;25;400000;;3;1;52;0;2;0;7;4;1;5;9;9;52
1;311;3;30;;;3;1;52;1;1;1;5;6;4;5;1;9;62
1;1811;5;42;750000;;3;1;52;5;8;8;8;4;1;2;9;9;58
3;3210;2;54;;;7;1;52;8;8;10;8;6;1;2;3;1;32
2;4792;11;20;150000;;5;1;52;10;10;10;7;6;4;2;10;10;37
2;4771;6;74;1200000;;4;1;52;8;6;8;7;4;1;2;1;9;41
1;8530;5;24;;;11;1;52;7;7;9;8;4;1;2;2;2;59
1;4111;5;40;;;3;1;52;5;5;8;0;4;1;2;1;1;51
2;6020;5;70;;52207;11;1;52;4;6;10;8;4;1;2;2;2;50
2;4111;5;42;500000;;3;1;52;2;8;5;9;5;4;2;2;1;55
3;8610;2;48;;;9;1;52;3;2;6;8;5;4;2;9;1;44
1;4921;6;42;450000;;4;1;52;7;7;8;10;6;4;2;10;10;47
1;8621;3;72;;;7;1;52;4;8;3;8;5;4;5;1;8;30
0;4711;2;42;;;7;1;52;8;8;8;8;4;4;2;1;1;26
3;321;5;45;450000;;3;1;52;0;3;10;10;5;4;5;10;1;36
2;8551;2;40;350000;;7;1;52;4;9;4;3;5;4;5;1;3;44
3;8121;7;36;;;4;1;52;1;7;1;4;5;4;2;1;1;36
0;9200;1;44;;;7;1;52;4;7;2;8;5;4;5;1;8;34
2;311;2;48;420000;;3;1;52;3;6;2;8;6;4;5;1;1;62
0;1089;11;16;300000;;5;1;52;0;10;10;5;6;4;4;2;1;53
3;4330;3;30;400000;;3;1;52;1;4;2;7;4;1;2;1;1;63
1;8890;3;25;;;7;1;52;5;10;10;10;5;4;5;4;2;32
2;3600;1;44;;;3;1;52;4;10;8;6;6;4;5;10;9;55
3;9700;3;25;150000;;3;1;52;1;7;3;5;6;4;4;10;1;60
0;1630;5;42;400000;;3;1;52;8;7;8;7;6;4;6;10;1;67
2;126;11;60;;;5;1;52;3;8;4;8;6;4;2;1;1;38
2;5611;1;64;;76001;3;1;52;4;7;2;4;6;1;5;9;9;43
0;9609;5;14;300000;;3;1;52;3;8;8;8;6;4;4;10;10;65
3;1089;5;25;450000;;3;1;52;4;7;6;9;6;1;5;1;1;35
1;9200;9;35;300000;;4;1;52;6;8;8;10;6;4;4;1;1;50
2;9601;5;20;200000;52612;3;1;52;3;7;6;7;4;3;2;10;9;32
1;161;3;40;600000;;3;1;52;7;6;8;6;5;4;6;10;1;61
2;4921;6;40;650000;86568;4;1;52;6;6;6;6;6;4;6;2;1;37
0;9700;2;42;;;7;1;52;6;7;6;5;6;1;5;1;9;28
2;3110;5;42;450000;;3;1;52;8;8;8;7;5;4;4;1;1;69
2;4731;2;85;400000;;3;1;52;2;3;4;4;6;4;5;1;1;32
2;4711;11;63;250000;;5;0;52;3;7;8;6;6;4;4;1;9;23
0;4711;11;77;180000;76001;5;0;52;2;4;3;6;7;4;2;10;1;48
3;127;6;63;500000;;4;0;52;4;8;3;10;6;4;2;10;1;55
3;127;3;40;800000;;3;0;52;7;7;9;8;6;4;2;9;1;74
2;4711;5;105;300000;;3;0;52;7;8;9;7;6;4;3;1;1;41
4;8513;3;25;;;9;0;52;8;8;10;10;6;4;2;1;1;44
2;128;2;70;800000;;7;0;52;7;8;8;8;6;4;2;9;9;36
0;5611;2;60;250000;;3;1;52;8;9;9;8;4;1;6;9;9;67
0;4111;3;48;1000000;;3;1;52;5;5;9;8;4;1;6;1;1;61
2;127;11;50;800000;23570;5;2;52;8;8;8;7;4;1;2;4;4;29
2;161;11;45;400000;;5;1;52;4;5;6;6;4;3;2;2;2;40
1;161;3;12;200000;;3;2;52;7;6;7;9;4;3;6;9;9;66
0;123;2;48;200000;52320;3;1;52;5;9;9;9;4;3;2;1;9;66
1;161;5;36;150000;;3;1;52;99;6;8;6;4;3;6;2;1;48
1;122;3;45;100000;;3;1;52;6;5;5;7;6;3;6;9;9;62
1;1072;3;48;;;3;1;52;8;9;9;7;4;3;2;1;1;36
2;161;5;50;500000;;3;1;52;7;6;7;6;4;4;2;1;1;60
1;127;3;36;200000;52885;3;2;52;4;5;6;8;4;3;6;10;1;78
1;123;7;48;;;4;1;52;5;8;8;7;4;4;6;1;9;45
0;123;5;48;400000;;3;1;52;9;9;8;9;4;3;2;9;9;56
1;123;5;48;200000;;3;1;52;7;8;8;6;4;1;3;2;2;48
0;123;8;45;350000;76318;4;1;52;5;5;10;6;6;3;2;10;10;34
1;1062;11;20;400000;;5;1;52;6;8;7;8;6;3;6;1;1;55
2;123;2;40;300000;;3;1;52;6;6;7;7;6;3;4;10;10;44
0;123;3;45;300000;;3;1;52;10;6;6;7;4;1;3;9;9;49
2;2511;9;48;;;4;1;52;5;9;8;7;6;4;6;1;9;54
2;161;5;45;415000;;3;1;52;8;6;8;7;4;3;2;1;1;47
0;123;3;45;400000;;3;1;52;8;6;7;4;4;3;5;1;9;51
1;9700;5;30;;;3;1;52;8;5;6;7;4;1;4;9;9;29
0;161;5;48;500000;;3;1;52;7;6;9;8;4;1;4;1;1;48
0;4542;5;40;800000;;3;1;52;7;9;8;7;6;3;6;1;1;56
2;4761;11;70;50000;;5;1;52;4;10;8;6;4;4;3;9;9;46
2;4111;6;56;840000;;4;1;52;7;9;8;8;6;4;6;1;1;42
2;4321;11;40;400000;52835;5;1;52;6;7;7;7;4;3;6;1;1;59
1;4711;5;105;600000;;3;1;52;8;10;8;8;4;4;4;9;9;58
2;5629;11;30;;;5;1;52;5;10;5;7;4;3;5;1;1;37
0;123;4;40;200000;52885;3;1;52;6;9;8;7;6;3;4;1;1;46
1;161;5;40;120000;;3;1;52;5;6;9;6;6;3;2;10;10;36
1;161;11;40;300000;;5;1;52;6;5;8;5;6;3;6;10;10;27
2;123;5;48;500000;;3;1;52;5;9;9;5;6;1;6;9;9;41
0;122;2;48;300000;;3;1;52;4;5;6;7;6;3;6;9;9;63
0;123;2;48;;52287;3;1;52;8;9;8;8;6;2;5;9;9;73
2;123;5;48;1500000;;3;1;52;5;7;8;7;6;3;2;9;9;41
1;123;1;8;250000;;3;1;52;99;9;8;8;4;3;5;9;9;71
3;1071;4;48;;52885;3;1;52;8;9;9;7;6;3;2;10;1;44
1;4921;2;48;200000;76563;7;1;52;5;8;7;8;4;3;6;1;1;50
1;111;4;48;800000;;3;1;52;6;9;9;8;4;1;6;1;2;54
0;4921;11;40;80000;;5;1;52;6;6;7;8;4;3;5;1;1;49
1;161;5;40;200000;;3;1;52;6;8;7;7;4;3;3;1;1;43
0;4721;7;60;1000000;;4;2;19;8;9;9;9;4;1;4;2;9;46
1;4520;5;50;800000;76520;3;2;19;7;9;8;7;6;1;3;1;1;61
1;4542;11;60;;;5;2;19;7;10;8;10;6;3;2;1;4;29
0;5611;11;40;500000;;5;2;19;6;10;6;8;4;3;4;1;1;53
1;4711;11;30;;5615;5;2;19;4;2;5;5;6;2;3;1;1;65
2;9700;10;20;480000;;5;2;19;6;8;6;5;6;2;4;1;1;35
0;113;2;50;500000;;3;1;19;8;8;8;7;6;2;5;1;1;62
0;127;5;32;;;3;1;19;5;9;8;7;6;3;2;2;10;43
0;128;1;40;300000;;3;0;19;7;8;9;9;7;4;4;9;9;68
3;1072;5;56;;;3;1;19;6;10;7;8;6;3;2;10;10;35
2;9601;5;50;450000;76109;3;1;19;8;9;9;8;6;4;2;9;1;36
1;113;5;30;300000;;3;1;19;6;5;6;8;7;3;6;1;1;87
1;1072;5;54;;;3;1;19;7;5;7;10;6;3;2;1;1;51
1;322;2;50;600000;;3;1;19;7;8;8;7;6;1;2;1;1;38
1;8530;6;48;;;11;1;19;8;9;8;9;4;1;6;2;9;33
1;122;11;48;550000;;5;1;19;5;10;10;6;6;4;2;1;1;37
2;123;3;40;98;;3;1;19;8;10;8;6;4;1;2;1;1;42
0;123;5;32;900000;;11;1;19;8;9;8;7;6;1;6;1;3;52
1;121;11;54;700000;19212;5;1;19;5;10;5;10;6;1;2;1;1;35
0;123;5;50;500000;;3;1;19;7;9;9;9;6;3;4;9;9;62
4;123;7;10;98;;4;1;19;7;8;8;6;6;4;2;1;1;42
3;4541;11;56;;76275;5;1;19;7;7;8;6;6;4;2;9;1;29
2;123;11;48;300000;;5;1;19;0;8;5;5;6;3;6;1;1;59
2;2740;3;56;;;9;3;19;8;9;9;5;6;3;2;4;8;28
0;127;5;48;1000000;;3;3;19;7;10;8;7;4;1;6;10;10;77
1;9700;11;48;;;5;3;19;7;10;7;6;4;1;4;2;2;42
0;8610;11;48;;76001;5;3;19;10;10;8;10;4;3;5;4;4;21
5;4665;5;48;;19142;3;2;19;6;8;7;5;7;4;2;1;1;44
0;5224;5;40;;;3;2;19;10;9;7;9;6;2;4;1;9;47
0;4520;5;50;500000;;3;2;19;8;9;9;9;4;1;2;9;9;54
1;9529;5;48;98;76520;3;1;19;5;8;7;6;6;3;2;10;2;54
2;1071;11;48;;;5;2;19;9;7;9;7;6;1;2;4;4;33
0;9603;2;48;;15759;7;2;19;8;10;8;8;4;3;5;2;2;46
0;8121;5;60;1000000;76001;3;1;19;8;10;7;8;6;3;4;1;1;43
3;4921;11;65;1200000;76001;5;1;19;9;9;7;8;6;1;2;4;4;49
2;8010;11;50;;52001;5;1;19;8;9;9;9;6;1;2;2;2;30
2;9602;11;20;50000;76109;5;1;19;5;4;5;5;6;3;2;2;2;33
0;4923;7;60;1200000;5001;4;1;19;5;5;4;0;6;3;5;2;2;42
0;4111;11;48;828000;;5;1;19;4;10;0;10;6;3;2;2;1;41
2;4923;3;50;;76001;3;1;19;8;9;9;9;6;1;2;10;9;36
1;5611;5;48;;;11;3;63;10;10;10;7;4;1;6;1;2;51
