HIJOS;ACTIVIDAD_ECONOMICA;GRADO_APROBADO;HORAS_SEM_TRABAJA;GANANCIA_NETA;MUNICIPIO_NACIMIENTO;NIVEL_EDUCATIVO;ESTRATO_TARIFA;DEPARTAMENTO;SACTISFACCION_INGRESO;SACTISFACCION_SALUD;SACTISFACCION_TRABAJO;ESCALON_VIDA;MATERIAL_PISOS;MATERIAL_TECHO;ESTADO_CIVIL;NIVEL_EDUCACION_PADRE;NIVEL_EDUCACION_MADRE;EDAD
3;1392;7;21;20000;;4;1;44;7;0;5;5;7;4;5;2;4;30
2;9700;4;30;;44874;3;0;44;7;8;5;10;6;4;4;10;9;43
2;1410;7;27;94000;44279;4;1;44;0;10;0;3;6;4;2;10;10;49
0;8553;11;42;800000;20001;5;3;44;8;2;8;10;4;3;6;9;9;57
0;5221;5;70;;;3;3;44;0;10;10;8;6;4;5;10;10;37
0;5613;2;20;400000;44855;7;3;44;0;8;10;7;6;3;2;2;2;49
1;4731;10;28;120000;;5;3;44;5;9;0;5;6;3;4;9;2;22
0;4321;5;48;;;11;3;44;5;9;6;6;6;3;5;4;4;35
2;5611;5;48;;47460;3;0;44;7;10;10;10;7;4;2;9;1;25
4;161;2;48;200000;;3;0;44;5;8;9;10;7;4;2;9;9;31
2;4721;3;48;600000;;3;1;44;6;8;7;6;7;4;3;2;2;48
0;4520;5;91;400000;47189;3;0;44;4;10;5;7;7;4;4;10;3;24
3;4111;9;10;300000;;4;0;44;6;10;10;5;7;4;2;2;2;40
1;1410;4;5;180000;;3;2;44;6;8;4;5;6;3;4;10;10;56
1;5611;11;9;700000;;5;1;44;9;9;9;9;4;3;1;3;2;33
0;4542;7;8;;;4;1;44;4;7;3;6;4;3;1;3;3;26
2;5611;9;10;600000;8433;4;1;44;6;8;8;9;4;3;4;1;4;52
0;5630;4;55;;;11;2;44;5;9;8;7;4;3;5;4;4;25
0;5630;9;8;;;4;2;44;7;7;7;7;6;3;5;10;10;23
0;8610;2;40;;;7;3;44;5;9;9;10;4;3;4;1;4;39
1;8530;5;48;;13468;11;3;44;9;7;9;8;4;1;4;2;2;62
0;4111;13;8;;;5;1;70;99;10;0;7;6;3;6;1;1;32
2;4723;11;5;200000;;5;1;70;2;8;5;5;6;4;2;1;1;29
1;4330;11;42;600000;;5;1;70;3;9;4;7;6;4;2;1;4;25
0;4723;9;15;220000;;4;1;70;6;8;4;8;6;3;6;1;1;65
1;9602;11;35;450000;;5;1;70;6;9;5;8;6;3;4;9;9;37
3;5611;1;49;828116;70215;3;1;70;8;6;5;5;6;4;6;9;2;46
0;5621;11;12;500000;;5;1;70;6;8;6;9;4;3;6;1;1;63
3;4921;11;48;2000000;41001;5;2;18;5;9;7;10;4;4;6;2;2;39
1;4923;5;40;400000;;3;1;18;5;9;5;9;5;4;2;1;2;32
1;161;1;45;;86571;3;1;18;9;9;8;6;6;4;2;9;2;20
0;4520;9;63;1200000;41020;4;1;18;7;8;7;9;4;4;1;9;1;39
2;8010;2;48;;;7;1;18;6;6;8;7;6;4;6;9;1;34
1;1081;11;60;250000;;5;1;18;2;4;0;5;6;4;1;9;10;46
1;1410;2;15;500000;;3;1;18;7;6;7;9;6;4;5;1;1;57
0;8121;4;36;350000;;3;1;18;3;5;3;7;6;4;4;1;1;48
4;5511;4;48;;18150;3;1;18;10;10;10;10;6;4;4;10;10;36
0;161;2;40;600000;41020;3;1;18;7;7;8;7;6;4;5;1;1;50
2;6110;2;48;;41001;7;3;18;7;10;8;9;4;4;1;1;2;28
0;8610;11;54;;;5;3;18;5;9;10;8;4;4;2;10;10;59
2;4792;5;60;;11001;11;3;18;8;6;8;10;4;4;4;4;3;35
0;7500;5;10;2000000;;11;2;18;7;7;7;8;6;4;5;1;1;27
3;8121;1;5;50000;;3;1;18;7;7;7;6;6;4;5;9;9;34
0;9609;3;12;30000;41026;3;1;18;8;6;6;4;5;4;5;10;10;61
2;161;3;36;600000;;3;1;18;7;9;7;8;7;4;2;9;9;50
2;4330;4;36;300000;41396;3;1;18;6;5;7;6;5;4;2;9;1;47
1;6423;11;24;;18592;5;1;18;5;10;5;6;6;4;5;10;1;26
0;150;8;60;;18247;4;1;18;7;8;8;7;6;4;2;1;1;25
1;4759;11;35;;;5;1;18;6;7;5;6;6;4;5;1;1;26
0;4774;8;63;1000000;;4;2;18;10;10;10;9;4;4;5;1;1;49
1;4921;5;56;1000000;18256;3;3;18;6;7;8;7;4;3;2;1;1;44
0;141;2;35;;;3;3;18;4;7;3;6;6;4;5;1;1;53
1;8121;1;6;200000;73616;3;3;18;7;7;7;6;6;4;4;10;10;41
0;5611;1;35;300000;73563;3;3;18;3;3;5;5;6;4;5;9;10;76
0;141;1;18;99;41306;3;3;18;7;4;8;6;6;3;3;9;9;69
2;4520;1;56;500000;;7;1;18;6;9;9;9;6;4;2;6;8;26
2;4111;11;40;200000;17524;5;1;18;0;5;5;7;4;4;2;1;1;54
1;8010;6;60;800000;11001;4;1;18;9;9;9;10;6;4;6;9;9;48
1;4390;3;50;400000;18592;3;3;18;9;9;9;10;6;4;6;10;9;53
4;4752;3;4;;20001;3;1;18;3;6;0;5;4;4;2;2;2;45
1;4923;9;48;2000000;76736;4;1;18;7;8;3;7;6;4;6;1;1;38
0;6820;5;10;300000;41801;3;2;18;7;8;5;9;4;4;6;9;10;71
3;4921;3;70;300000;11001;3;1;18;6;6;2;3;6;4;6;3;2;59
0;4731;9;54;;;4;1;18;6;9;8;9;6;4;5;1;1;30
3;4111;4;48;800000;;3;1;18;5;10;7;7;4;4;2;2;9;49
0;4520;9;50;2000000;;4;1;18;10;10;10;10;4;4;2;2;2;32
3;4711;10;84;;18592;5;1;18;7;10;10;5;4;4;2;3;9;28
2;5613;3;54;300000;;3;1;18;4;6;7;8;6;4;6;10;1;44
1;4542;11;40;300000;76041;5;1;18;5;5;5;10;4;4;6;2;2;49
2;9329;1;64;;41872;3;1;18;8;8;7;8;6;4;4;9;10;54
4;4631;5;105;1500000;18753;3;2;18;6;6;8;6;6;1;6;1;9;46
0;8530;2;25;;41359;13;2;18;9;9;8;10;6;4;5;8;8;45
0;161;9;40;400000;18592;4;1;18;4;5;0;8;6;4;5;9;9;35
0;161;1;25;98;41396;3;1;18;3;3;8;7;6;4;6;10;10;62
1;161;10;46;800000;18592;5;1;18;8;10;10;7;6;4;2;2;2;31
4;5613;4;15;600000;18610;3;1;18;5;7;5;7;6;4;4;10;1;32
2;161;8;54;750000;;4;1;18;7;10;6;7;5;4;2;9;3;20
3;141;3;56;1800000;17486;3;1;18;6;10;6;8;6;4;6;1;1;45
2;4711;11;45;800000;18094;5;1;18;6;6;7;7;6;4;4;10;10;47
1;161;2;50;600000;19517;3;1;18;10;10;10;10;5;4;6;1;1;70
0;161;7;46;300000;18001;4;1;18;7;8;7;7;7;4;4;1;4;28
1;4111;11;47;;18001;5;1;18;8;9;8;9;6;4;6;1;1;23
2;8121;1;3;100000;;3;1;18;6;6;10;6;6;4;4;1;1;49
0;4774;5;84;550000;73226;3;1;18;6;8;5;9;6;4;4;1;1;53
0;9200;5;8;400000;;3;1;18;5;4;6;7;6;4;5;10;9;49
3;8121;5;18;120000;;3;1;18;6;8;8;7;6;4;2;1;1;26
1;322;11;47;1200000;;5;2;18;7;6;6;7;6;4;2;2;2;54
1;6499;11;72;;;5;2;18;7;8;8;8;6;4;2;1;1;35
0;141;8;12;900000;;4;1;18;7;9;9;5;6;4;5;2;2;38
0;8121;5;35;300000;;3;1;18;6;8;8;7;6;4;3;9;2;53
0;9602;5;10;200000;;3;1;18;5;5;8;5;6;4;4;9;9;48
1;8513;2;40;;;13;2;18;3;10;10;5;3;4;4;2;2;58
1;123;11;45;1700000;;5;2;41;5;8;4;6;4;3;6;1;1;27
4;123;11;50;800000;18460;5;2;41;0;5;5;7;4;4;6;9;9;49
0;6499;11;30;1600000;66001;5;1;41;10;10;10;10;4;1;5;1;1;38
0;4799;5;36;;76233;3;2;41;9;9;9;8;4;1;2;10;10;28
2;8691;2;49;;18001;7;1;41;10;10;10;7;4;1;3;4;1;36
3;4631;2;48;900000;;6;2;41;5;3;7;6;4;4;6;9;9;41
1;4721;5;40;500000;;3;2;41;5;7;7;8;4;4;6;1;1;56
0;4921;6;78;828116;;4;2;41;5;5;5;5;4;4;2;10;10;62
2;8544;11;48;;;5;2;41;7;9;9;7;6;1;4;2;2;40
1;4520;11;48;473000;;5;2;41;5;8;9;8;6;4;5;1;2;33
0;9411;2;48;;41132;13;2;41;7;8;8;8;4;4;5;1;2;40
1;4711;11;48;1300000;25269;5;3;41;7;8;8;8;4;4;4;2;2;61
2;8610;5;46;;18001;11;3;41;9;9;8;9;4;1;6;2;4;47
0;123;5;35;200000;;3;3;41;7;9;8;8;6;4;6;10;1;72
1;8543;2;40;;41615;13;2;41;5;3;7;7;4;4;4;2;4;31
0;6910;2;48;3500000;;13;3;41;6;8;8;8;4;4;6;1;1;52
1;4773;5;63;2000000;15176;11;3;41;10;10;10;10;4;1;2;1;4;43
0;8621;6;60;;11001;11;3;41;8;8;8;8;4;1;5;8;8;33
0;4210;5;24;300000;15516;11;3;15;99;7;9;6;4;1;1;8;2;32
0;8544;2;20;;;13;3;15;8;10;8;5;4;1;5;8;8;41
1;8121;11;10;250000;;5;3;15;4;7;6;5;4;3;5;3;2;37
2;8412;2;48;;;7;3;15;8;9;8;7;4;3;5;3;2;36
0;4111;5;48;;;3;2;15;6;7;8;7;6;4;4;9;9;62
0;8810;11;72;600000;;5;2;15;10;10;10;10;4;2;5;6;2;54
0;3315;9;30;500000;;4;2;68;8;8;10;10;4;3;2;3;2;61
0;8412;6;52;2400000;15686;4;2;68;10;10;10;10;4;1;2;1;9;56
0;7810;1;48;;;7;2;68;8;8;8;7;4;3;2;1;1;60
2;113;3;8;1200000;11001;9;2;68;9;8;5;8;4;2;6;6;4;47
0;141;6;50;500000;;4;2;68;9;9;8;10;4;2;1;4;4;76
1;4111;9;56;1200000;;4;2;68;10;10;10;10;4;1;2;10;10;29
3;4761;3;84;300000;;7;2;68;6;8;8;7;4;2;6;9;2;43
0;1430;8;40;100000;;4;2;15;0;8;10;10;4;1;4;3;10;58
3;1513;5;40;;;3;2;15;5;5;5;5;4;1;1;2;2;47
2;8121;5;16;300000;;3;2;15;10;9;10;10;4;1;4;2;2;42
1;8610;5;36;;;11;3;15;7;7;8;7;4;1;4;4;4;52
1;5611;4;48;300000;;3;2;15;10;10;10;10;6;4;2;10;9;41
2;141;5;2;;;3;2;15;3;8;3;1;6;3;6;2;1;36
1;121;5;24;;;3;2;15;6;6;6;4;4;3;5;2;10;41
1;121;11;48;;;5;2;15;8;8;8;5;4;3;2;2;2;27
4;4111;5;48;1000000;5038;3;2;15;4;9;4;5;4;3;1;1;1;45
0;5611;11;30;;11001;5;2;15;10;10;9;7;4;3;5;2;2;34
0;6910;5;40;3000000;50689;11;3;50;9;8;8;10;4;3;2;1;1;59
0;8622;6;24;2000000;50606;11;3;50;4;10;10;10;4;1;2;2;4;50
2;4921;6;3;1500000;;11;3;50;8;10;10;8;4;3;2;8;2;46
0;121;5;56;170000;25394;3;0;50;7;5;10;10;6;4;6;9;9;64
0;121;5;30;400000;50313;3;1;50;4;10;10;5;6;4;4;10;3;56
2;4923;5;8;700000;73585;3;2;50;5;8;5;8;7;4;2;2;2;55
3;8511;5;50;;;11;2;50;7;7;7;8;7;4;2;9;9;34
0;4711;5;98;400000;11001;3;2;50;6;7;9;10;4;3;2;9;1;47
0;4723;11;42;;;5;1;50;9;8;9;10;4;4;6;1;1;45
0;4220;5;60;;68615;3;3;68;10;8;9;10;4;2;2;9;9;66
2;4511;1;20;500000;54001;7;4;68;8;8;9;9;4;1;6;2;2;52
0;8544;1;48;;68406;7;4;68;10;9;10;8;4;1;1;1;1;22
2;2100;1;46;;;6;2;68;7;10;10;6;4;2;4;4;2;30
0;4711;11;84;900000;54518;5;2;68;2;1;3;1;4;3;6;10;9;57
2;1521;10;40;1000000;68081;5;2;68;5;10;5;5;4;1;2;2;2;31
2;4792;9;8;200000;;4;2;68;99;7;10;10;6;1;4;4;9;48
3;1521;5;60;500000;47245;3;2;68;9;10;8;9;4;1;2;9;1;34
0;1081;2;60;;;9;2;68;8;8;9;6;4;5;2;3;4;24
1;4722;2;42;400000;68689;3;2;68;7;10;7;9;6;4;6;1;1;63
0;1522;3;48;400000;13030;3;3;68;8;9;10;7;4;3;6;9;2;62
3;4771;3;30;400000;;9;2;68;5;7;7;10;4;4;4;1;1;32
2;5613;5;60;1200000;;3;2;68;5;7;8;7;4;1;6;2;1;34
1;8121;11;20;550000;54720;5;2;68;2;6;2;3;6;3;4;9;9;50
0;1410;4;48;;20550;9;2;68;3;10;10;10;4;3;4;2;1;44
1;1523;1;5;0;20710;6;1;68;5;8;4;8;4;1;5;10;1;26
1;1521;5;10;;11001;3;1;68;9;10;10;10;4;1;2;1;9;61
0;9319;3;4;200000;54518;10;1;68;6;8;7;6;5;4;6;3;1;64
0;5611;3;48;;;7;2;68;3;8;8;4;4;1;4;4;4;39
2;1521;9;12;;;4;2;68;8;9;8;9;4;4;2;1;1;38
2;1521;11;48;;;5;1;68;7;10;6;7;4;1;5;1;1;31
3;4631;11;6;380000;;5;2;68;4;5;5;10;4;1;2;10;10;40
1;4923;7;80;;;4;2;68;7;8;8;10;4;3;6;3;1;48
2;8121;11;48;;68081;5;2;68;9;10;10;7;4;1;2;4;10;38
2;4754;11;60;;;5;3;54;8;8;7;8;4;3;6;10;9;59
3;4921;11;105;600000;54261;5;3;54;10;10;10;10;4;3;6;9;9;54
0;4782;11;20;400000;54810;5;3;54;7;10;10;10;4;3;6;10;10;56
0;8610;2;72;;;7;3;54;6;8;6;8;4;1;1;10;4;51
0;6511;11;72;;;5;2;54;5;5;10;10;4;3;5;10;2;20
0;4921;5;106;1800000;68684;3;2;54;8;5;8;7;4;3;4;9;9;56
1;5611;11;54;800000;;5;3;54;7;7;6;7;4;3;2;10;10;45
2;4711;6;98;200000;;4;3;54;5;8;9;10;4;3;6;2;9;56
0;4761;5;112;300000;;3;2;54;7;7;7;10;4;3;6;9;9;63
0;6499;11;30;2000000;;5;2;54;7;10;9;10;4;1;6;9;10;62
2;5611;5;3;120000;54206;3;2;54;5;7;8;8;6;3;2;9;9;48
0;9602;7;48;500000;;4;2;54;7;7;7;8;4;3;5;2;2;66
0;4290;8;48;828116;;4;2;54;3;6;2;3;6;4;4;4;4;68
2;9523;11;40;600000;;5;2;54;8;5;7;8;6;4;2;4;4;70
0;6910;5;20;1500000;;11;3;54;8;10;9;5;4;3;5;2;2;25
0;4711;11;90;240000;54680;5;2;54;2;2;2;7;4;3;6;9;1;63
0;9319;11;8;1200000;;5;2;54;10;10;10;10;4;3;4;1;1;40
2;8423;11;108;;;5;2;54;10;10;10;10;4;3;6;9;9;40
1;1410;11;20;100000;54520;5;2;54;10;10;10;10;4;3;2;10;10;40
1;5621;11;56;;;5;2;54;9;9;10;10;4;3;2;10;10;27
0;4220;1;50;;;10;2;54;8;8;8;6;6;4;5;10;1;46
0;8621;5;16;500000;54820;11;2;54;5;7;7;6;4;2;6;10;8;28
1;1521;3;60;;68686;9;2;54;8;7;8;8;4;3;6;9;1;63
0;9319;5;55;;;11;2;54;5;10;10;5;4;3;5;9;9;21
2;6820;3;20;7000000;;10;6;76;10;10;10;10;4;1;2;8;2;30
2;2100;5;48;;8001;11;4;76;7;8;8;7;4;2;2;2;2;43
1;1701;2;48;;;7;5;76;9;10;10;10;4;2;6;10;10;56
0;8424;5;8;;;11;4;76;10;6;8;6;4;1;2;2;2;69
2;7310;5;30;;11001;11;6;76;6;9;8;8;4;1;6;8;8;41
0;4921;4;30;2000000;73124;3;5;76;10;10;10;10;4;1;6;9;1;80
0;4620;2;50;1000000;11001;7;4;76;2;10;3;8;4;1;5;8;3;42
1;7310;5;57;4000000;11001;11;5;76;9;8;6;7;4;1;2;8;6;39
0;8530;2;32;;19001;13;4;76;8;8;9;8;4;2;5;2;2;59
2;3600;2;44;;76869;13;5;76;7;8;8;7;4;1;6;2;2;59
1;124;5;20;3000000;76622;11;4;76;3;9;2;5;4;1;6;2;2;75
0;8230;1;48;;47001;13;6;76;6;10;8;8;4;1;6;8;7;36
0;4669;4;55;;11001;13;6;76;8;8;8;7;4;1;6;8;4;45
2;8544;5;35;1300000;15759;11;5;76;6;7;7;10;4;1;6;8;4;50
0;8513;2;48;;76147;13;5;76;8;7;10;10;4;1;6;2;1;57
1;2211;7;48;700000;;4;1;76;10;8;8;10;6;4;6;10;10;57
2;6820;7;48;;76001;4;2;76;0;6;6;7;4;3;6;3;2;54
1;9602;11;20;800000;41791;5;2;76;99;9;0;10;4;1;4;2;2;43
1;4520;5;42;700000;41396;3;2;76;5;7;10;8;4;1;6;1;1;49
2;4921;2;80;900000;76100;6;2;76;4;7;7;7;4;1;6;1;1;33
2;4322;4;35;500000;52687;3;2;76;4;6;0;10;4;1;6;2;10;59
1;8423;1;120;;76828;7;3;76;4;10;8;8;4;1;2;2;2;34
0;8424;11;92;;76622;5;3;76;10;10;10;5;4;1;5;6;4;26
2;8513;2;48;2000000;76001;7;3;76;10;10;10;10;4;1;6;8;4;46
0;5611;9;16;80000;47189;4;0;76;4;8;8;8;6;3;4;2;3;71
2;6820;3;45;;76834;3;1;76;7;7;7;9;6;3;2;1;1;54
1;3830;9;60;500000;;4;1;76;6;8;6;8;6;4;2;10;9;48
0;4111;5;40;828116;76869;3;1;76;5;8;8;8;4;3;2;9;9;69
1;9700;1;35;;76520;3;1;76;7;10;7;10;6;3;4;10;9;47
0;8412;4;48;;76122;3;3;76;10;8;10;10;4;1;6;1;1;71
3;4631;11;32;500000;76001;5;2;76;10;10;10;10;4;1;1;1;2;41
1;4541;11;54;;;5;1;76;8;9;10;8;6;1;6;9;1;47
1;8412;3;48;640000;;7;3;76;7;8;10;8;4;1;3;1;1;39
0;4632;11;48;;76147;5;1;76;7;6;6;8;6;3;2;2;2;32
2;124;11;48;;;5;3;76;7;10;10;8;5;1;1;2;2;39
1;144;5;54;;76520;3;1;76;8;7;6;7;6;3;2;2;1;28
1;9700;7;50;;63594;4;1;76;7;8;9;9;6;3;5;9;9;32
1;1410;7;60;500000;52480;4;1;76;5;5;4;3;4;4;4;1;1;45
2;124;11;48;;76520;5;1;76;5;10;10;10;6;3;2;1;1;47
2;1071;9;52;;;4;1;76;8;7;8;10;6;3;2;2;10;54
2;4921;5;62;;52260;3;1;76;9;8;9;10;4;3;2;10;9;41
1;1071;11;48;;76520;5;1;76;9;8;7;7;4;3;2;2;1;62
0;2012;3;48;;;3;2;76;3;8;4;9;4;1;2;10;1;51
1;124;5;70;;19809;3;2;76;10;10;10;10;4;1;2;1;1;45
1;124;4;48;;76563;9;2;76;4;3;4;10;4;1;6;1;1;59
2;4719;7;10;1500000;52260;4;3;52;0;8;10;8;4;3;6;2;2;73
